 Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause
decreased local protectionism [118],decrease in data privacy regulations [297],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased local protectionism [118],decrease in taxes [102],causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decrease in taxes', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],looser capital controls [60],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Looser capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
looser capital controls [60],increased foreign direct investment [31],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Looser capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased foreign direct investment [31],strengthening economic environment [58],causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Strengthening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
looser capital controls [60],easy to repatriate cash [62],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Repatriating cash is easy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Looser capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],increasing government and political stability [64],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],decrease in possibility of FCPA violation [65],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Decrease in possibility of FCPA violation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],increased government IT spending [332],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Increased IT spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],fair allocation of government budget [68],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Discussion on fair allocation of government budget', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],fair justice system [69],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Discussion about a fair justice system', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],growing respect for authority [70],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Growing respect for authority', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],favorable official(political figurehead) or party elected [262],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Political figureheads and parties', 'What': 'Election of favorable officials or party members', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],favorable law passed [72],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'A favorable law was passed', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],increased investor and consumer confidence [73],causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Investors and consumers', 'What': 'Increased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased investor and consumer confidence [73],strengthening economic environment [58],causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Strengthening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Investors and consumers', 'What': 'Increased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in corruption [59],"increase in government spending (infrastructure, education, public benefits) [75]",causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Increase in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"increase in government spending (infrastructure, education, public benefits) [75]",improving social order [76],causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Improving social order', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Increase in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"increase in government spending (infrastructure, education, public benefits) [75]",increased talent in workforce [77],causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased talent in the workforce', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Increase in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],untapped market for data providers to enter [80],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Data providers', 'What': 'Untapped market opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
untapped market for data providers to enter [80],increased competition [166],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Data providers', 'What': 'Untapped market opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
untapped market for data providers to enter [80],offshore services become advantageous [82],causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Offshore services become advantageous', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Data providers', 'What': 'Untapped market opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
offshore services become advantageous [82],able to analyze market and consumers better [83],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Analyze market and consumers better', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Offshore services become advantageous', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],decreased foreign direct investment [88],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],unable to stay competitive globally [89],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Unable to stay competitive globally', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],government trying to stimulate economy [90],causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Stimulating the economy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],disruptive technologies [152],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Disruptive technologies are discussed.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],decreased local protectionism [118],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Decreased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in data privacy regulations [297],market disruptors [168],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Market disruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in price of commodity [91],reduced demand for commodity [92],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Reduced demand for a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in price of commodity [91],regulators agreement to raise the group's production quota [93],causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Regulators', 'What': 'Raise production quota for a group', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Agreement'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in price of commodity [91],substituting or adjacent industries prevailing [94],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Substituting or adjacent industries prevailing', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decrease in price of commodity [91],increased supplier competition around commodity [95],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Suppliers', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
